Dataset,Model,Train Accuracy,Test Accuracy,General Test Accuracy,Training Time (s),Most Important Feature,Top Feature Importance
60_bins,MLP Classifier,0.9972,0.478,0.5138,24.0748,fft_3.462Hz,0.0115
20_bins_distortion,Logistic Regression,0.5327,0.514,0.5122,0.0876,regrowth_power_db,0.0255
40_bins,Logistic Regression,0.5327,0.505,0.5068,0.0597,fft_4.812Hz,0.0305
20_bins_shape,Logistic Regression,0.5452,0.483,0.5066,0.0228,fft_2.862Hz,0.0055
40_bins,Random Forest,1.0,0.507,0.506,1.65,fft_1.587Hz,0.0206
40_bins,Support Vector Machine,0.5933,0.494,0.5058,1.3343,fft_2.712Hz,0.0094
20_bins_all,Gradient Boosting,0.7862,0.487,0.5042,21.3447,spectral_centroid_norm,0.0082
20_bins_shape,Random Forest,1.0,0.494,0.5036,1.5307,fft_4.287Hz,0.0071
20_bins_all,Random Forest,1.0,0.484,0.5028,2.1633,fft_0.762Hz,0.0064
20_bins,MLP Classifier,1.0,0.473,0.5018,57.7014,fft_3.538Hz,0.004
40_bins,MLP Classifier,0.9992,0.5,0.5014,26.9069,fft_1.363Hz,0.0102
20_bins_all,MLP Classifier,0.996,0.526,0.5006,53.8243,spectral_centroid_norm,0.0349
40_bins,Gradient Boosting,0.7902,0.494,0.5002,15.0434,fft_1.587Hz,0.012
20_bins_shape,Gradient Boosting,0.756,0.463,0.5,9.5381,fft_3.087Hz,0.001
20_bins_distortion,Support Vector Machine,0.5738,0.513,0.5,1.9667,fft_2.638Hz,0.0188
20_bins_energy,Logistic Regression,0.5272,0.523,0.4998,0.0421,fft_3.763Hz,0.0287
60_bins,Support Vector Machine,0.603,0.453,0.4994,1.6108,fft_2.263Hz,0.004
20_bins_shape,MLP Classifier,0.9912,0.511,0.4986,32.4373,fft_3.538Hz,0.0156
20_bins_all,Support Vector Machine,0.5785,0.489,0.4986,2.1138,total_power,0.0007
20_bins_energy,Random Forest,1.0,0.517,0.4986,1.5801,fft_4.513Hz,0.0291
20_bins_shape,Support Vector Machine,0.5928,0.498,0.498,1.2152,spectral_kurtosis,0.0163
20_bins,Gradient Boosting,0.7478,0.523,0.4976,9.5737,fft_4.737Hz,0.016
60_bins,Random Forest,1.0,0.498,0.4974,1.9337,fft_3.913Hz,0.0132
20_bins_energy,Support Vector Machine,0.5958,0.491,0.4972,1.217,max_power,0.0072
20_bins_distortion,Random Forest,1.0,0.503,0.4966,1.3608,fft_2.638Hz,0.0153
20_bins_energy,MLP Classifier,0.9982,0.487,0.4946,34.3671,fft_0.537Hz,0.0063
20_bins,Random Forest,1.0,0.496,0.4936,1.7986,fft_4.287Hz,0.0109
20_bins_distortion,Gradient Boosting,0.7685,0.491,0.4934,8.7208,fft_0.762Hz,0.0059
60_bins,Gradient Boosting,0.805,0.492,0.4928,22.3532,fft_2.337Hz,0.0097
20_bins_all,Logistic Regression,0.5248,0.513,0.4924,0.1431,regrowth_power_db,0.0232
20_bins,Support Vector Machine,0.5828,0.497,0.4918,0.6406,fft_0.762Hz,0.0102
20_bins,Logistic Regression,0.5265,0.501,0.4908,0.0455,fft_1.962Hz,0.0075
20_bins_distortion,MLP Classifier,0.9968,0.504,0.4908,40.206,fft_0.537Hz,0.0128
60_bins,Logistic Regression,0.5458,0.481,0.4896,0.0842,fft_0.988Hz,0.0072
20_bins_energy,Gradient Boosting,0.7438,0.474,0.488,9.6402,fft_4.513Hz,0.0085
